Tanggal,Terakhir
3/1/2022,1800.1
4/1/2022,1814.6
5/1/2022,1825.1
6/1/2022,1789.2
7/1/2022,1797.4
10/1/2022,1798.8
11/1/2022,1818.5
12/1/2022,1827.3
13/01/2022,1821.4
14/01/2022,1816.5
17/01/2022,1812.4
18/01/2022,1812.4
19/01/2022,1843.2
20/01/2022,1842.6
21/01/2022,1831.8
24/01/2022,1841.7
25/01/2022,1852.5
26/01/2022,1829.7
27/01/2022,1793.1
28/01/2022,1785.8
31/01/2022,1796
1/2/2022,1800.8
2/2/2022,1809.5
3/2/2022,1803.2
4/2/2022,1806.8
7/2/2022,1820.8
8/2/2022,1826.8
9/2/2022,1835.6
10/2/2022,1836.4
11/2/2022,1841.1
14/02/2022,1868.3
15/02/2022,1855.1
16/02/2022,1870.5
17/02/2022,1901
18/02/2022,1898.8
21/02/2022,1907.4
22/02/2022,1906.4
23/02/2022,1909.4
24/02/2022,1925.4
25/02/2022,1887.6
28/02/2022,1900.7
1/3/2022,1943.8
2/3/2022,1922.3
3/3/2022,1935.9
4/3/2022,1966.6
7/3/2022,1995.9
8/3/2022,2043.3
9/3/2022,1988.2
10/3/2022,2000.4
11/3/2022,1985
14/03/2022,1960.8
15/03/2022,1929.7
16/03/2022,1909.2
17/03/2022,1943.2
18/03/2022,1929.3
21/03/2022,1929.5
22/03/2022,1921.5
23/03/2022,1937.3
24/03/2022,1962.2
25/03/2022,1954.2
28/03/2022,1939.8
29/03/2022,1912.2
30/03/2022,1936.1
31/03/2022,1951.1
1/4/2022,1920.9
4/4/2022,1930.6
5/4/2022,1924.1
6/4/2022,1919.7
7/4/2022,1934.7
8/4/2022,1942.4
11/4/2022,1945.1
12/4/2022,1973.2
13/04/2022,1981.9
14/04/2022,1972.2
18/04/2022,1983.6
19/04/2022,1956.3
20/04/2022,1952.9
21/04/2022,1945.4
22/04/2022,1931.6
25/04/2022,1893.3
26/04/2022,1901.5
27/04/2022,1885.8
28/04/2022,1891.3
29/04/2022,1911.7
2/5/2022,1863.6
3/5/2022,1870.6
4/5/2022,1868.8
5/5/2022,1875.7
6/5/2022,1882.8
9/5/2022,1858.6
10/5/2022,1841
11/5/2022,1853.7
12/5/2022,1824.6
13/05/2022,1808.2
16/05/2022,1814
17/05/2022,1818.9
18/05/2022,1815.9
19/05/2022,1841.2
20/05/2022,1842.1
23/05/2022,1847.8
24/05/2022,1865.4
25/05/2022,1846.3
26/05/2022,1847.6
27/05/2022,1854
30/05/2022,1848.4
31/05/2022,1845.2
1/6/2022,1845.8
2/6/2022,1868.4
3/6/2022,1847.3
6/6/2022,1840.8
7/6/2022,1849.2
8/6/2022,1853.6
9/6/2022,1850.1
10/6/2022,1872.7
13/06/2022,1829.2
14/06/2022,1810.5
15/06/2022,1816.3
16/06/2022,1846.6
17/06/2022,1836.5
20/06/2022,1838.8
21/06/2022,1835.4
22/06/2022,1835.2
23/06/2022,1826.3
24/06/2022,1827
27/06/2022,1821
28/06/2022,1817.5
29/06/2022,1817.5
30/06/2022,1807.3
1/7/2022,1801.5
4/7/2022,1763.9
5/7/2022,1763.9
6/7/2022,1736.5
7/7/2022,1739.7
8/7/2022,1742.3
11/7/2022,1731.7
12/7/2022,1724.8
